order_id,order_date,customer_id,product_id,product_name,category,quantity,unit_price,country,status
ORD-1001,2026-01-05,CUST-001,PROD-101,Wireless Mouse,Electronics,2,24.99,Switzerland,Completed
ORD-1002,2026-01-07,CUST-002,PROD-102, Mechanical Keyboard ,Electronics,1,79.50,Germany,SHIPPED
ORD-1003,2026-01-15,CUST-001,PROD-103,Desk Lamp,Home Office,1,42.00,Switzerland,pending
ORD-1004,2026-02-02,CUST-003,PROD-104,Notebook Set,Stationery,3,12.25,France,completed
ORD-1005,2026-02-09,,PROD-101,Wireless Mouse,Electronics,1,24.99,Italy,completed
ORD-1006,not-a-date,CUST-004,PROD-105,USB-C Hub,Electronics,1,54.90,Austria,completed
ORD-1007,2026-02-12,CUST-005,PROD-106,Office Chair,Furniture,0,189.00,Germany,shipped
ORD-1008,2026-02-14,CUST-006,PROD-107,Monitor Stand,Furniture,-1,65.00,France,completed
ORD-1009,2026-03-01,CUST-007,PROD-108,Webcam,Electronics,1,-39.99,Switzerland,completed
ORD-1010,2026-03-03,CUST-008,PROD-109,Cable Organizer,Accessories,4,8.50,Italy,RETURNED
ORD-1011,2026-03-05,CUST-009,PROD-110,Laptop Stand,Furniture,2,48.00,Austria,cancelled
ORD-1012,2026-03-08,CUST-002,PROD-105,USB-C Hub,Electronics,2,54.90,Germany,completed
ORD-1012,2026-03-09,CUST-002,PROD-105,USB-C Hub,Electronics,1,54.90,Germany,completed
ORD-1013,2026-03-11,CUST-010,PROD-104,Notebook Set,Stationery,5,12.25,France,shipped
ORD-1013,2026-03-11,CUST-010,PROD-104,Notebook Set,Stationery,5,12.25,France,shipped
